ADO1_ARATH	APRR1_ARATH
AIP2_ARATH	AIP2_ARATH
AIP2_ARATH	ABI3_ARATH
ATL55_ARATH	ATL55_ARATH
BPM3_ARATH	P2C77_ARATH
BPM3_ARATH	P2C56_ARATH
BPM3_ARATH	P2C16_ARATH
BPM3_ARATH	P2C37_ARATH
BPM5_ARATH	P2C56_ARATH
BPM5_ARATH	P2C16_ARATH
BPM5_ARATH	P2C37_ARATH
BPM5_ARATH	P2C77_ARATH
CHIP_ARATH	FTSH1_ARATH
CHIP_ARATH	CLPP4_ARATH
CIP8_ARATH	HY5_ARATH
COI1_ARATH	TI10A_ARATH
COI1_ARATH	TIF6B_ARATH
COP1_ARATH	MYB21_ARATH
COP1_ARATH	PHYA_ARATH
COP1_ARATH	HFR1_ARATH
COP1_ARATH	CRY1_ARATH
COP1_ARATH	PIF5_ARATH
COP1_ARATH	GIGAN_ARATH
COP1_ARATH	HY5_ARATH
COP1_ARATH	CONS_ARATH
COP1_ARATH	PIF1_ARATH
COP1_ARATH	HYH_ARATH
COP1_ARATH	LAF1_ARATH
O22809_ARATH	RGL2_ARATH
DRIP1_ARATH	DRE2A_ARATH
DRIP2_ARATH	DRE2A_ARATH
DWA2_ARATH	ABI5_ARATH
EBF1_ARATH	CUL1_ARATH
ETO1_ARATH	1A15_ARATH
FBL17_ARATH	CDKA1_ARATH
GID2_ARATH	RGL2_ARATH
GID2_ARATH	RGA_ARATH
GID2_ARATH	GAI_ARATH
HOS1_ARATH	ICE1_ARATH
BRE1A_ARATH	H2B6_ARATH
BRE1B_ARATH	H2B6_ARATH
KEG_ARATH	ABI5_ARATH
LOFG2_ARATH	P2C56_ARATH
MIEL1_ARATH	MYB30_ARATH
ORTH3_ARATH	DNMT1_ARATH
ORTH3_ARATH	CMT3_ARATH
PEX12_ARATH	PEX5_ARATH
PRL1_ARATH	KIN10_ARATH
PUB13_ARATH	FLS2_ARATH
PUB22_ARATH	PSD8A_ARATH
PUB23_ARATH	PSD8A_ARATH
PUB25_ARATH	MYB15_ARATH
RGLG1_ARATH	M3K18_ARATH
RGLG2_ARATH	M3K18_ARATH
RHA2B_ARATH	MYB30_ARATH
RKP_ARATH	KRP1_ARATH
RKP_ARATH	KRP2_ARATH
RMA1_ARATH	PIP21_ARATH
RMA2_ARATH	ABP1_ARATH
SAP5_ARATH	ENO2_ARATH
SAP5_ARATH	DRIP1_ARATH
SAP5_ARATH	DRIP2_ARATH
SAP5_ARATH	HS905_ARATH
SINA5_ARATH	NAC22_ARATH
THOC6_ARATH	ABI5_ARATH
TIR1_ARATH	IAA12_ARATH
TIR1_ARATH	IAA3_ARATH
TIR1_ARATH	IAA7_ARATH
UPL5_ARATH	WRK53_ARATH
XB32_ARATH	1A14_ARATH
XB32_ARATH	1A17_ARATH
XB35_ARATH	ELF3_ARATH
BACD1_BOVIN	RHOA_BOVIN
KLH21_BOVIN	AURKB_BOVIN
MARH5_BOVIN	FIS1_BOVIN
PAXI1_BOVIN	PCNA_BOVIN
RN220_BOVIN	RN220_BOVIN
SPOP_BOVIN	BMI1_BOVIN
TRI17_BOVIN	TRI17_BOVIN
RO52_BOVIN	UBP4_BOVIN
RO52_BOVIN	IKKB_BOVIN
BARD1_CAEEL	H2A_CAEEL
G5ECY6_CAEEL	PK3C3_CAEEL
G5ECY6_CAEEL	INSR_CAEEL
Q9GUP2_CAEEL	SKN1_CAEEL
Q9GUP2_CAEEL	OGT1_CAEEL
FBXL_CAEEL	RIM_CAEEL
FEM1_CAEEL	TRA1_CAEEL
SKP1B_DICDI	SKR1_CAEEL
APC1_CAEEL	CCNB3_CAEEL
CDC23_CAEEL	SAS5_CAEEL
MEL26_CAEEL	KTNA1_CAEEL
MEL26_CAEEL	FIGL1_CAEEL
Q9U2C5_CAEEL	LIN12_CAEEL
Q9U2C5_CAEEL	GLP1_CAEEL
RPM1_CAEEL	Q18909_CAEEL
RPM1_CAEEL	UNC51_CAEEL
RPM1_CAEEL	DLK1_CAEEL
SEL10_CAEEL	LIN41_CAEEL
HRD1_CAEEL	Q9BMU4_CAEEL
Q19019_CAEEL	SRC1_CAEEL
H2KYH3_CAEEL	H2A_CAEEL
Q9XYW6_DROME	INSR_CAEEL
UBR1_CAEEL	LIN28_CAEEL
UBE4_CAEEL	MYO3_CAEEL
BRE1_DROME	H2B_DROME
Q9VSK2_DROME	SRC42_DROME
Q9VGE3_DROME	YAP1_DROME
DIAP1_DROME	DIAP1_DROME
DIAP1_DROME	DRONC_DROME
DIAP1_DROME	RPR_DROME
DIAP2_DROME	DIAP1_DROME
A1Z971_DROME	Q8IPM1_DROME
O18402_DROME	ORC1_DROME
Q9W4H9_DROME	WARTS_DROME
Q24044_DROME	CCNB_DROME
Q24044_DROME	Q7JX41_DROME
HIW_DROME	Q9VC03_DROME
Q6GKZ1_DROME	Q9VH01_DROME
Q9VGE5_DROME	Q9VES0_DROME
Q9VGE5_DROME	Q9XYZ6_DROME
Q9VGE5_DROME	Q9VIZ3_DROME
L2DTL_DROME	E2F1_DROME
DCAF1_DROME	LATS1_MOUSE
MIB_DROME	SERR_DROME
MIB_DROME	DL_DROME
B7Z0L8_DROME	E2F1_DROME
NEDD4_DROME	Q9W213_DROME
NEDD4_DROME	COMM_DROME
NEDD4_DROME	NOTCH_DROME
NEDD4_DROME	Q9NCC3_DROME
NEUR_DROME	SERR_DROME
NEUR_DROME	DL_DROME
M9PB68_DROME	Q0KIB3_DROME
RDX_DROME	Q9VHV8_DROME
RDX_DROME	CI_DROME
B7Z078_DROME	AXN_DROME
RING1_DROME	H2AV_DROME
SINA_DROME	TTKA_DROME
O44382_DROME	PLK4_DROME
Q9VDE3_DROME	Q9V3B8_DROME
Q9XYW6_DROME	INSR_DROME
B7YZY9_DROME	DTX_DROME
SUDX_DROME	DTX_DROME
A1Z7P5_DROME	Q7KJV5_DROME
TOPRS_DROME	HAIR_DROME
Q9VTH1_DROME	Q9VXF9_DROME
Q9VTH1_DROME	ATNA_DROME
DTL_DANRE	Q8JFE3_DANRE
A0A2I4KBP1_DANRE	SHH_DANRE
MDM2_DANRE	P53_DANRE
MIB1_DANRE	JAG1B_DANRE
MIB1_DANRE	DLLB_DANRE
MIB1_DANRE	DLLD_DANRE
MIB1_DANRE	STING_DANRE
MIB1_DANRE	JAG1A_DANRE
MIB1_DANRE	DLLC_DANRE
MIB1_DANRE	DLLA_DANRE
RAG1_DANRE	H33_DANRE
RAG1_DANRE	H32_DANRE
A0A2R8Q387_DANRE	Q803T0_DANRE
SIAH1_DANRE	G1K2I7_DANRE
SMUF2_DANRE	P53_DANRE
SYVN1_DANRE	SYVN1_DANRE
E7EYR3_DANRE	CCND1_DANRE
RSP5_EMENI	UAPA_EMENI
HAKAI_CHICK	CADH1_CHICK
RAG1_CHICK	H33_CHICK
RAG1_CHICK	H32_CHICK
E1C049_CHICK	MYD88_CHICK
AHR_HUMAN	ESR1_HUMAN
AHR_HUMAN	PPARG_HUMAN
AMRA1_HUMAN	BECN1_HUMAN
